Documento;Series;Emissão;Cliente;Cidade Destino;UF Destino;Data Finalização;Status;Peso;Valor;Volume
123456;1;01/08/2022;JOHCAS;GUARULHOS;SP;;Sem Rota;0,1;1345;4
123457;1;01/08/2022;JOHCAS;GUARULHOS;SP;;Sem Rota;0,1;336,25;1
123458;1;01/08/2022;JOHCAS;GUARULHOS;SP;;Sem Rota;0,1;672,5;2
123459;1;01/08/2022;PAUCON;GOIANIA;GO;;Sem Rota;0;756;2
123460;1;01/08/2022;HOSCAS;SAO PAULO;SP;01/08/2022;Entregue;0,3;720;1
123461;1;01/08/2022;NIKCON;ANDRADINA;SP;;Sem Rota;1;1528;1
123462;3;01/08/2022;LAYSQL;NATAL;RN;;Em Transito;0;132;0
123463;3;01/08/2022;RAFSQL;BELO HORIZONTE;MG;03/08/2022;Entregue;0;7982;0
123464;1;01/08/2022;ANNCON;GOIANIA;GO;;Sem Rota;0;271,14;3
123465;1;01/08/2022;CLICON;SALVADOR;BA;;Sem Rota;1;5596,8;1
123466;1;01/08/2022;PROCON;ERECHIM;RS;04/08/2022;Entregue;1;1750;1
123467;1;01/08/2022;THICON;TRES LAGOAS;MS;;Sem Rota;0;3820;1
123468;1;01/08/2022;CLICON;SAO PAULO;SP;03/08/2022;Entregue;0;540;1
123469;1;01/08/2022;STAPOW;SAO BERNARDO DO CAMPO;SP;;Sem Rota;15;5789,88;2
123470;1;01/08/2022;ESHPOW;SAO PAULO;SP;;Sem Rota;20;785,93;2
123471;1;01/08/2022;HOSPOW;RIO DE JANEIRO;RJ;;Sem Rota;26,15;803,25;4
123472;1;01/08/2022;SERPOW;ITAPECERICA DA SERRA;SP;;Sem Rota;9;280;3
123473;1;01/08/2022;ASSPOW;SAO PAULO;SP;;Sem Rota;1,4;361,65;1
123474;1;01/08/2022;IMPPOW;BRASILIA;DF;;Sem Rota;15,5;614,25;2
123475;1;01/08/2022;PREPOW;SAO PAULO;SP;;Sem Rota;14,25;420;5
123476;1;01/08/2022;PREPOW;SAO BERNARDO DO CAMPO;SP;;Sem Rota;145,35;4284;51
123477;1;01/08/2022;SPDPOW;TABOAO DA SERRA;SP;;Sem Rota;28;1044,97;9
123478;1;01/08/2022;INSPOW;BERTIOGA;SP;;Sem Rota;1,6;705,5;1
123479;1;01/08/2022;SOCPOW;SAO PAULO;SP;;Sem Rota;35;790,6;6
123480;1;01/08/2022;SERPOW;SAO PAULO;SP;;Sem Rota;2,3;535;1
123481;1;01/08/2022;SERPOW;SAO PAULO;SP;;Sem Rota;1,9;357;1
123482;1;01/08/2022;CTOPOW;SAO PAULO;SP;;Sem Rota;1;112,71;1
123483;3;01/08/2022;SILSQL;ARACAJU;SE;02/08/2022;Entregue;0;6431;0
123484;3;01/08/2022;THASQL;CARUARU;PE;;Em Transito;0;1286;0
123485;1;01/08/2022;TALCON;PELOTAS;RS;;Sem Rota;1;5956,8;1
123486;1;01/08/2022;RICCON;GOIOERE;PR;;Sem Rota;1;1886,8;1
123487;1;01/08/2022;IMPFUC;BRASILIA;DF;01/08/2022;Entregue;0,14;1000;1
123488;3;01/08/2022;EDUSQL;SALVADOR;BA;02/08/2022;Entregue;0;7117;0
123489;3;01/08/2022;DANSQL;SAO PAULO;SP;01/08/2022;Entregue;0;43102;0
123490;1;01/08/2022;CLICON;SAO PAULO;SP;;Sem Rota;1;1810;1
123491;3;01/08/2022;LAYSQL;NATAL;RN;;Em Transito;0;94;0
123492;3;01/08/2022;FRESQL;BELO HORIZONTE;MG;01/08/2022;Entregue;0;1266;0
123493;3;01/08/2022;MICSQL;BELO HORIZONTE;MG;01/08/2022;Entregue;0;1126;0
123494;1;01/08/2022;MOUCON;SAO JOSE DOS CAMPOS;SP;;Sem Rota;1;2655,3;1
123495;1;01/08/2022;PIECON;SAO PAULO;SP;03/08/2022;Entregue;0;570,84;1
123496;1;01/08/2022;FLACON;VOTUPORANGA;SP;;Sem Rota;0;1170,72;1
123497;1;01/08/2022;JOSCON;VOTUPORANGA;SP;;Sem Rota;1;4800;1
123498;1;01/08/2022;GRUPOW;SAO PAULO;SP;;Sem Rota;2,3;3720;1
123499;3;01/08/2022;MORSQL;BREJO DO CRUZ;PB;;Em Transito;0;1051;0
123500;3;01/08/2022;JANSQL;FORTALEZA;CE;;Carregando;0;13980;0
123501;3;01/08/2022;ANASQL;PETROLINA;PE;;Em Transito;0;14925;0
123502;3;01/08/2022;DANSQL;MACAPA;AP;04/08/2022;Entregue;0;24000;0
123503;3;01/08/2022;ANASQL;VITORIA DA CONQUISTA;BA;04/08/2022;Entregue;0;3470;0
123504;3;01/08/2022;D PSQL;SAO LUIS;MA;03/08/2022;Entregue;0;7120;0
123505;1;01/08/2022;TASCON;NATAL;RN;05/08/2022;Entregue;1;10431;1
123506;1;01/08/2022;PEDCON;CUIABA;MT;;Sem Rota;0;1979,82;1
123507;1;01/08/2022;NELCON;PELOTAS;RS;;Sem Rota;1;453,6;1
123508;1;01/08/2022;ORTCON;PORTO ALEGRE;RS;03/08/2022;Entregue;0;3349,6;1
123509;1;01/08/2022;LUICON;GOIANIA;GO;;Sem Rota;0;6500;1
123510;1;01/08/2022;INSFUC;GOIANIA;GO;;Sem Rota;0;480;6
123511;1;01/08/2022;INSFUC;APARECIDA DE GOIANIA;GO;01/08/2022;Entregue;15;17280;7
123512;3;01/08/2022;ELISQL;POCOS DE CALDAS;MG;03/08/2022;Entregue;0;3798;0
123513;1;01/08/2022;EDUCON;ARCOVERDE;PE;;Sem Rota;1;7167,03;1
123514;3;01/08/2022;PHLSQL;BELO HORIZONTE;MG;01/08/2022;Entregue;0;11048;0
123515;1;01/08/2022;INTCON;PIRACICABA;SP;;Sem Rota;1;1854;1
123516;3;01/08/2022;ELISQL;POCOS DE CALDAS;MG;03/08/2022;Entregue;0;1266;0
123517;3;01/08/2022;VENSQL;BELO HORIZONTE;MG;01/08/2022;Entregue;0;5458;0
123518;1;01/08/2022;CARCON;POUSO ALEGRE;MG;;Sem Rota;1;1900;1
123519;1;01/08/2022;MAUCON;PANAMBI;RS;05/08/2022;Entregue;1;1074,84;1
123520;1;01/08/2022;ADRCON;UBERLANDIA;MG;;Sem Rota;0;3169,25;1
123521;1;01/08/2022;FABCON;SANTO ANGELO;RS;05/08/2022;Entregue;0;1855;1
123522;1;01/08/2022;COTCON;BARREIRAS;BA;03/08/2022;Entregue;1;4531,5;1
123523;3;01/08/2022;RAFSQL;MACEIO;AL;03/08/2022;Entregue;0;2700;0
123524;3;01/08/2022;NAYSQL;PARACATU;MG;02/08/2022;Entregue;0;1459;0
123525;1;01/08/2022;ERICON;CUIABA;MT;;Sem Rota;0;2069,88;1
123526;3;01/08/2022;MARSQL;LIMEIRA;SP;02/08/2022;Entregue;0;1340;0
123527;3;01/08/2022;SARSQL;PONTE NOVA;MG;03/08/2022;Entregue;0;1508;0
123528;1;01/08/2022;GUSCON;SORRISO;MT;02/08/2022;Entregue;0;2069,88;1
123529;1;01/08/2022;JOICON;CUIABA;MT;;Sem Rota;0;219;1
123530;1;01/08/2022;YOLCON;CAMPO GRANDE;MS;02/08/2022;Entregue;0;670;1
